actor_id	movie_id
1490	572
2860	572
638	572
1990	572
512	177
2800	177
578	177
2858	177
698	118
1398	118
2607	118
1628	118
1373	405
1008	405
2547	405
2917	405
1713	28
1993	28
2804	28
2679	28
1664	500
779	500
1694	500
724	500
2811	686
515	686
2602	686
1826	686
613	562
599	562
738	562
2653	562
1887	683
1079	683
361	683
2406	214
1342	214
1705	214
66	214
23	32
1590	32
1354	549
1177	549
2043	549
4	549
67	470
1446	470
1062	470
2850	470
1266	601
18	601
60	358
1169	358
1178	358
1016	358
1831	34
2220	34
973	34
1307	34
146	651
1933	651
2285	651
2813	651
2792	355
2038	355
226	355
1354	355
2616	355
1709	106
334	106
1883	106
1473	106
2536	106
1439	509
262	509
282	509
1667	509
31	290
2363	290
1682	290
1484	290
1319	638
1726	638
2138	638
1922	638
1553	465
2117	465
1185	465
292	465
37	443
1756	443
2184	443
2725	443
1387	160
1377	160
800	160
1514	160
2173	556
2198	556
364	556
2938	556
1135	472
2450	472
1043	472
1309	472
2715	483
52	483
2350	483
778	483
1560	566
1999	566
1789	566
697	566
2600	656
524	656
1497	656
54	656
2433	492
2468	492
2782	492
2575	492
442	633
2664	633
10	633
2558	633
1650	521
2862	521
2126	521
1217	521
1945	479
2196	479
1221	479
2515	479
2833	353
751	353
2154	353
2370	353
1463	608
441	608
1006	608
2915	608
2718	466
1652	466
1942	466
686	466
2156	395
844	395
1894	395
787	395
457	439
2246	439
2518	439
484	439
1658	393
543	393
1567	393
1465	393
2427	644
1175	242
1822	242
1489	242
2534	242
349	195
2076	195
808	195
1150	195
5	104
615	104
1119	104
2231	104
1424	390
858	390
1925	390
1179	390
482	568
1405	568
125	568
1201	568
1779	15
2020	636
2139	636
32	636
394	636
2855	161
2807	161
1259	161
2414	161
1284	431
782	431
1759	431
2801	431
2296	267
783	267
1793	267
594	267
2242	136
455	136
1777	136
1025	136
47	375
749	375
2432	375
2078	375
1997	211
2439	211
427	211
485	211
2927	338
2103	338
201	338
1320	338
2024	6
729	6
1697	6
586	6
1170	36
894	36
2113	36
2699	36
1678	525
1810	525
2203	525
1528	525
1770	513
212	513
1198	513
281	513
418	704
277	704
619	704
654	704
2853	318
2537	318
365	318
194	318
748	381
1532	381
1839	381
1309	381
341	494
1629	494
1100	494
2411	494
1229	532
2482	532
1375	532
768	532
2778	57
2453	57
895	57
1979	57
2215	369
1498	369
618	369
1970	369
2883	522
1963	522
2025	522
2629	522
2851	240
1085	240
1623	240
100	240
2298	71
897	71
383	71
1156	71
2505	433
2872	433
2303	433
1418	433
2482	433
1184	433
622	433
705	263
827	263
2352	263
2271	263
1807	693
1346	693
1401	693
2606	693
1658	18
2484	18
2710	18
2341	18
774	313
2351	313
2550	313
1249	313
467	343
2337	343
2839	343
976	343
955	343
1609	343
1535	343
1877	343
2568	343
1891	637
1383	637
1617	637
244	637
2339	254
236	254
237	254
1474	254
1385	486
1731	486
147	486
2514	486
1477	336
1393	336
12	336
380	336
1213	328
902	328
2716	328
2676	328
572	560
1987	560
2587	560
1276	560
305	50
2685	50
64	50
602	50
858	186
527	186
1768	186
603	186
1224	135
1435	135
1830	135
1234	135
2215	593
1095	593
618	593
2865	593
2458	517
1572	517
2809	517
1026	517
1134	82
1499	82
1968	82
2615	82
152	60
957	60
1186	17
2879	17
1964	17
184	17
2648	409
914	409
1773	409
1526	409
1087	618
2113	618
2910	618
919	618
2814	408
1767	408
1819	408
1303	408
591	665
2139	665
296	665
712	665
1241	387
371	387
826	387
1340	387
575	587
2808	587
8	587
1029	587
1012	614
2692	614
1857	614
2164	614
1301	635
436	635
2211	635
2497	635
1019	95
19	95
2790	95
1031	95
968	265
366	265
1612	265
1456	265
749	582
903	582
2165	582
2349	582
1689	658
2191	658
2271	658
196	658
1512	406
2268	406
379	406
2781	406
559	423
46	423
499	423
232	423
1508	91
2627	91
2707	91
1367	91
112	661
2777	661
2919	661
530	661
1530	201
37	201
1258	201
1647	201
259	488
2446	488
2715	488
1140	488
886	477
126	477
1412	477
2819	477
446	575
2086	575
1532	575
1330	575
834	664
1288	664
145	664
2810	664
477	664
2730	664
2779	450
645	450
1291	450
2921	450
916	570
1457	570
996	570
1970	570
1861	505
1966	505
2398	505
2517	505
1197	700
1549	700
17	700
1567	700
1189	317
2650	317
2814	357
1730	357
2184	357
195	357
2614	75
1314	75
817	75
469	75
399	621
27	621
2408	621
1526	621
1638	690
1637	690
2327	690
2011	690
176	698
2600	698
1676	698
1379	698
207	426
1065	426
1634	426
275	426
2577	207
181	207
2614	207
1610	207
1765	327
2480	327
2397	327
2175	327
1157	612
2780	612
2510	612
1451	612
2353	282
1698	282
1788	282
483	282
1536	230
1797	230
2169	230
889	230
2033	51
1739	51
505	51
2900	51
2851	438
542	438
2869	438
2590	438
1607	274
2816	274
1515	274
2476	274
1468	53
440	53
2721	53
1716	53
2217	398
1835	398
2507	398
1615	398
1910	469
1488	469
1207	469
1606	469
1250	694
3	694
809	694
1991	694
2346	16
895	16
2715	16
2181	16
1668	154
2135	154
2412	154
1628	154
49	280
1747	280
192	280
517	280
727	70
187	70
2383	70
2064	70
860	70
954	70
1863	413
1620	413
78	413
983	413
1654	594
1063	594
1352	594
514	594
1854	219
659	219
2733	219
1843	219
2382	451
310	451
2574	451
291	451
2448	496
73	496
1693	496
1053	239
15	239
194	239
948	239
1677	316
2618	316
1563	316
2305	316
1419	611
1463	611
1106	611
1479	611
608	701
2241	701
2672	701
1905	701
2845	48
1865	48
2881	48
222	48
714	291
950	291
2006	202
591	202
2326	202
2908	202
189	354
2545	354
2017	354
2542	354
1306	341
369	341
108	341
853	341
2160	555
384	555
2907	555
258	555
2189	127
2526	127
556	127
2740	127
2408	337
1633	337
1165	337
2232	337
419	146
2116	146
1685	146
2666	146
2456	627
2399	627
1504	627
1643	627
280	485
1996	485
628	485
331	485
1197	142
37	142
1798	142
1513	142
238	550
572	550
519	550
449	550
2890	641
1315	641
368	641
1210	641
2068	257
29	257
2905	257
1850	257
827	266
786	266
1919	266
1383	266
2675	309
1495	309
2224	309
2734	309
2048	667
498	667
1470	667
1572	667
1155	296
1828	296
1534	296
548	296
2933	712
2078	712
2153	712
70	712
685	25
448	25
2378	25
1995	25
2548	238
1582	238
2351	238
2814	238
1431	376
1703	376
2644	376
83	376
2933	213
962	213
267	213
564	213
2521	606
1613	606
813	606
987	606
872	236
2534	236
2530	236
1182	236
1371	462
2818	462
398	462
2395	462
2404	697
1985	697
1000	697
1662	697
49	620
1591	620
793	620
1131	620
87	232
1713	232
799	232
323	232
2085	232
658	232
120	232
767	307
253	307
2364	307
2841	307
1420	581
536	581
625	581
63	581
560	642
289	642
1040	642
452	642
2132	526
730	526
2681	526
917	526
142	384
1048	384
433	384
2720	384
1308	203
215	203
1454	203
150	203
346	311
2757	311
980	311
388	311
82	541
2147	541
1658	541
1475	541
1206	520
2784	520
1681	520
2795	520
2407	379
1350	379
1152	379
245	379
1809	187
946	187
2726	187
2228	187
1620	629
996	629
194	629
2755	629
1053	498
2635	498
1471	498
444	498
660	602
2918	602
734	602
1818	602
1582	308
2681	308
20	308
2906	308
611	400
2158	400
2097	400
1768	400
2688	535
271	535
849	535
375	535
2120	590
2188	590
2764	590
242	590
426	225
771	225
2332	225
317	225
669	134
1299	134
1462	134
2723	134
2098	711
2884	711
689	711
390	711
1431	326
1273	326
1724	326
2589	326
1906	208
2806	208
661	208
2097	208
2599	109
336	109
1520	109
1933	109
2006	94
2240	94
2534	94
682	94
995	245
818	245
2892	245
2611	245
1419	352
400	352
1614	352
1023	352
660	660
1406	660
27	660
1098	660
1194	178
490	178
663	178
1546	13
2281	13
674	13
835	13
2247	403
2885	403
1410	403
429	403
1171	164
1728	164
604	164
1122	164
648	217
694	217
1057	217
1953	217
1544	59
1146	59
1296	59
2705	59
528	185
2814	185
1313	185
708	185
1402	350
1344	350
332	350
1070	350
761	631
1606	631
1311	631
728	631
554	630
2475	630
2929	630
1280	630
1147	592
762	592
1442	592
601	592
385	445
2575	445
686	445
2549	445
2861	156
2748	156
1001	156
2280	156
1003	143
1848	143
1621	143
2895	143
295	371
1574	371
1774	371
335	371
1271	194
2184	194
719	194
990	194
1343	506
743	506
912	506
720	506
228	685
2055	685
351	685
1014	685
244	61
1614	61
409	61
2388	61
1751	65
2254	65
985	65
111	65
2682	8
2357	8
841	8
2078	8
1649	459
2157	459
57	459
2083	459
2163	508
2798	508
355	508
130	508
200	117
2216	117
1405	117
595	117
2634	288
1427	288
1522	288
1084	288
887	293
1626	293
354	293
2330	293
1636	292
2184	292
339	292
1701	292
664	571
500	571
1176	571
906	571
2326	373
947	373
1300	373
251	373
713	281
1698	281
1187	281
2425	281
705	285
2686	285
338	285
2202	285
905	319
1114	319
320	319
2765	319
2368	673
2903	673
1714	673
2177	673
2130	640
1750	640
1704	640
870	640
1118	295
1607	295
1017	295
2887	295
962	674
902	674
2719	674
1121	674
2131	141
1687	141
1424	141
2638	141
1335	162
1754	162
2462	162
1517	162
368	519
761	300
2668	300
973	300
193	300
2433	380
2421	380
2857	380
2845	380
235	537
116	537
2904	537
186	537
2152	402
2200	402
2171	402
49	402
932	157
1658	157
2232	157
1260	157
174	709
2835	709
2372	709
2567	709
2194	183
2216	183
2128	183
2353	183
2886	639
257	639
1073	639
1913	639
1186	422
2381	422
1865	422
2674	422
1678	99
2935	99
1247	99
370	99
2711	394
1885	172
2271	172
163	172
739	172
2258	155
513	155
406	155
1859	155
2342	580
1020	580
2950	580
314	580
2263	717
2912	495
1875	495
1960	495
2758	93
460	93
769	93
2459	93
138	662
2698	662
1686	662
2529	662
432	591
1758	591
2856	591
2752	591
1132	241
1053	241
995	241
2727	241
811	283
278	283
480	283
2009	283
585	600
528	600
1088	600
1283	600
636	434
2492	434
2312	434
1347	434
733	268
1060	268
167	268
1805	268
1269	482
185	482
2610	482
1142	482
1930	688
645	688
1202	688
1769	688
2301	645
1254	645
1955	645
1604	645
345	148
1895	148
1654	148
1896	148
722	468
2454	468
884	468
2050	468
1361	166
1767	166
1639	166
2279	166
1382	419
306	419
1394	167
1760	167
2149	167
2787	167
1355	247
2078	247
1329	247
1596	247
1673	467
819	467
978	467
91	467
905	385
2240	385
368	385
1212	385
2890	153
367	153
93	153
1172	153
2014	650
1203	650
95	650
2077	650
2159	359
303	359
2240	359
27	359
1682	563
688	563
2127	563
2162	563
161	35
718	35
2309	35
704	35
407	708
2323	708
2859	708
170	708
863	708
1051	708
2089	708
2931	699
614	699
327	699
250	699
1162	577
433	577
784	577
2140	577
218	314
845	314
1679	314
1045	314
1967	97
837	97
219	97
173	97
1007	294
583	294
1491	294
2706	294
1449	77
1214	77
1445	77
2428	77
1226	150
2361	150
445	150
2422	150
2376	331
483	88
2674	88
2420	88
988	88
600	412
1243	412
1869	412
1548	412
817	287
1910	287
1718	287
741	287
1401	351
2853	351
985	351
561	351
183	490
286	490
1761	490
2316	490
2234	140
6	140
2530	140
998	140
1798	179
2893	179
2108	179
2457	179
2081	323
377	323
137	323
2937	323
936	114
2664	114
1896	114
1334	114
811	396
802	396
676	396
271	396
2932	205
2186	205
2754	205
2129	205
690	297
2753	297
766	297
2501	297
2700	453
1493	453
1421	453
1727	453
632	654
1035	654
2438	654
1190	654
2174	298
667	298
2573	298
1248	298
907	414
956	414
2793	414
1425	414
1938	248
996	248
78	248
1505	248
1232	442
249	442
99	442
2146	442
2724	139
475	536
2078	536
2320	536
2899	536
1105	68
1827	68
71	68
2243	68
2039	11
1204	11
1592	11
2587	11
293	411
96	411
2701	411
1980	411
1487	714
2896	714
1531	714
831	714
28	514
1815	514
1130	514
1027	514
2419	133
2897	133
1277	133
1762	529
2063	529
797	529
2934	529
1436	529
1743	191
1780	191
1718	191
221	191
2834	120
2814	120
1924	120
1190	120
2405	20
1376	20
2923	20
1837	20
2380	473
134	473
721	473
1173	473
1100	503
867	503
1587	503
2035	503
2924	19
496	19
504	19
1659	19
1058	19
2436	19
880	534
2848	534
1653	534
1589	534
934	440
2403	440
1808	440
2592	440
488	110
461	110
2693	110
420	110
2473	223
634	223
1246	223
551	223
190	324
2846	324
68	324
1039	324
2088	670
1289	670
297	670
2775	670
85	348
1350	348
2637	348
2509	348
1233	49
701	49
1733	49
969	49
1290	321
2665	321
848	321
1125	321
1356	657
1856	657
2005	657
891	657
2118	322
2290	322
195	322
2840	322
594	378
2899	378
1005	378
1348	378
1042	553
1064	553
165	553
35	553
1708	87
2044	87
2046	87
1002	87
493	144
1711	696
1761	696
472	696
1322	696
464	481
301	481
1842	481
1129	481
295	121
951	121
2531	121
329	121
2565	703
1736	703
993	703
1500	703
1631	306
2511	306
2749	306
1381	306
2477	684
1683	684
454	684
2801	684
776	715
2277	715
239	715
2870	715
2543	45
1461	45
2824	45
1209	45
2695	258
2142	258
22	258
1939	258
1405	209
2758	209
670	209
393	209
1332	548
2010	548
1440	548
119	548
2390	544
2494	544
156	544
1032	544
2704	718
843	718
1086	718
1954	718
1700	676
1112	676
2021	676
1324	676
1028	463
883	463
2600	463
691	463
451	145
1572	145
1482	145
852	145
511	101
823	101
358	101
2389	101
1389	175
2485	175
299	175
2172	175
2524	72
1127	72
2170	72
356	72
1947	675
725	675
2522	675
1983	675
564	542
682	542
1035	542
1766	542
1771	184
2047	184
2941	184
539	184
2504	273
497	273
2677	273
1541	273
2159	437
959	437
1017	437
2751	437
203	304
484	304
1326	304
2603	304
328	69
1729	69
1580	69
2879	69
1833	278
434	278
465	278
1712	278
2758	546
2579	546
678	546
2019	546
469	458
162	458
1543	458
1962	458
2625	478
879	478
133	478
2467	478
41	681
1497	681
227	681
1595	681
873	105
1328	105
2071	105
168	105
62	224
1520	224
1599	224
1069	224
2465	111
1464	111
2034	111
803	111
2277	229
136	229
1744	229
2591	229
806	229
584	229
921	229
2738	391
1286	391
872	391
360	391
901	329
1772	329
2796	329
2168	329
939	21
711	21
2569	21
2124	21
2405	404
986	404
1357	404
1538	404
1361	497
72	497
547	497
11	497
534	552
1810	552
1419	552
1689	552
590	565
2643	565
2889	565
1619	565
94	624
1884	624
1588	624
639	624
945	554
1882	554
1357	554
1773	554
1601	67
2700	67
1871	67
255	67
1730	173
1708	173
570	173
2534	173
2059	617
2213	617
2827	617
2209	617
1732	444
1183	444
1503	444
1576	444
2078	713
1117	713
1926	713
2940	713
1168	226
2746	226
2057	226
1021	226
1680	609
276	609
179	609
710	609
1271	320
916	320
979	320
393	320
2692	132
450	132
2284	132
1881	132
2095	456
1581	456
2680	456
2225	456
478	137
206	137
48	137
2037	137
546	634
36	634
1020	634
2022	634
2052	428
1853	428
937	428
81	428
1934	43
807	43
49	43
2171	43
2516	652
2847	652
1558	652
1533	652
1369	335
866	335
1023	335
682	335
374	540
1860	540
975	540
1527	540
746	168
231	168
1128	168
1568	168
516	231
1293	231
1310	231
2255	231
2184	628
77	628
735	628
2304	628
1602	246
198	246
1876	246
1424	246
1136	460
1632	460
821	460
992	460
411	561
65	561
2820	561
1052	561
1795	615
2409	615
471	615
2747	615
263	250
2180	250
2237	250
1675	250
546	86
290	86
1231	86
2608	86
958	108
546	108
1408	108
1372	108
1033	623
537	623
2029	623
1407	623
210	332
2556	332
149	332
1081	332
349	610
177	610
1341	610
49	610
709	152
2161	152
1158	152
1036	152
325	5
2669	5
55	5
2821	5
139	131
2429	131
2275	131
1153	131
2293	649
144	649
2336	649
855	649
1047	9
1898	9
773	9
2176	9
890	98
2471	98
1236	98
531	98
2554	648
2769	648
466	648
2696	648
2736	361
260	361
2949	361
814	361
85	435
765	435
312	435
84	435
326	284
1119	284
577	284
80	284
2598	115
1239	115
1297	115
342	115
2909	647
1800	647
1262	647
893	647
2566	26
758	26
763	26
713	26
2223	119
2127	119
755	119
382	119
25	680
2260	680
2376	680
77	680
1159	524
1333	524
1252	524
2670	524
476	489
2675	489
1616	489
2443	489
1211	489
2540	489
510	489
373	489
300	200
2354	200
307	200
613	200
2006	125
1076	125
1164	125
16	125
2128	480
473	480
1521	480
422	480
1620	605
668	605
737	605
2703	605
82	531
267	531
1975	531
645	531
1911	523
2942	523
33	523
2101	523
1106	149
946	149
27	149
1276	149
922	576
856	576
943	576
449	576
695	206
2550	206
1411	206
2763	206
236	198
1791	198
248	198
2343	198
2540	397
1211	397
410	397
1935	397
1918	374
272	374
2079	374
1961	374
1608	527
2844	527
2528	527
1071	527
2193	344
1417	344
970	344
1022	344
2585	344
1829	344
1109	235
558	235
352	235
2831	235
1927	484
214	484
2137	484
2417	484
256	301
2302	301
1899	301
942	301
304	388
2315	388
1059	388
2291	388
1137	595
146	595
1778	595
1260	595
2933	551
1361	551
2908	551
1283	551
1163	603
1502	603
2575	603
883	603
2401	653
128	653
118	653
2027	653
2075	233
2075	102
1245	81
596	81
2384	81
2945	81
1258	275
482	275
103	275
1812	275
2067	707
2797	707
2697	707
2141	707
2660	515
1764	515
2283	515
1077	515
2849	10
1227	10
1566	10
874	10
2863	188
17	188
1737	188
2326	188
1463	586
105	586
