id	name	release_year
tt0066853	Na Boca da Noite	2016
tt0069049	The Other Side of the Wind	2018
tt0094859	Chief Zabu	2016
tt0099381	Deadly Manor	2018
tt0100275	The Wandering Soap Opera	2017
tt0112502	Bigfoot	2017
tt0115686	Biriken	2008
tt0117743	Still Waters Burn	2008
tt0119970	My Apocalypse	2008
tt0121569	Moonlight Blade	2009
tt0137204	Joe Finds Grace	2017
tt0139613	O Silêncio	2012
tt0143558	Apaföld	2009
tt0144449	Nema aviona za Zagreb	2012
tt0146592	Pál Adrienn	2010
tt0153140	Camembert Rose	2009
tt0154039	So Much for Justice!	2010
tt0159369	Cooper and Hemingway: The True Gen	2013
tt0162942	Children of the Green Dragon	2010
tt0170651	T.G.M. - osvoboditel	2018
tt0176694	The Tragedy of Man	2011
tt0177636	Beloved Clara	2008
tt0193747	Bande de cons!	2018
tt0200465	The Bank Job	2008
tt0205270	Os Monstros de Babaloo	2016
tt0205380	Sanam Teri Kasam	2009
tt0211946	Berlin Calling	2008
tt0230212	The Final Journey	2010
tt0247643	Los pájaros se van con la muerte	2011
tt0249516	Foodfight!	2012
tt0255820	Return to Babylon	2013
tt0258112	In Memoriam Alfons Vranckx	2018
tt0262759	Seven Jews from My Class	2018
tt0276568	To Chase a Million	2018
tt0283440	Short Time Heroes	2015
tt0285252	Life's a Beach	2012
tt0287760	This Child of Mine	2008
tt0289146	Darkness	2009
tt0293069	Dark Blood	2012
tt0293354	The Magic Stone	2009
tt0295911	Corso: The Last Beat	2009
tt0297400	Snowblind	2015
tt0304876	Unter Strom	2009
tt0311448	Lives No Longer Ours	2011
tt0311698	Railed	2009
tt0312305	Quantum Quest: A Cassini Space Odyssey	2010
tt0312958	Chinango	2009
tt0315642	Wazir	2016
tt0317249	A Circle on the Cross	2008
tt0319115	Brothel	2008
tt0323808	The Wicker Tree	2011
tt0326965	In My Sleep	2010
tt0327597	Coraline	2009
tt0329539	Rice Girl	2014
tt0330238	A Killing on Brighton Beach	2009
tt0331312	This Wretched Life	2010
tt0331314	Bunyan and Babe	2017
tt0334202	Dear Mara, Letters from a Patagonia Trip	2009
tt0337692	On the Road	2012
tt0337882	Blind Sided	2010
tt0337926	Chatô - The King of Brazil	2015
tt0339736	The Evil Within	2017
tt0340020	Big River Blues	2008
tt0344074	Mitsein	2009
tt0346045	Transeúntes	2015
tt0346631	Blood and Bone	2009
tt0353665	El libro de piedra	2009
tt0353765	Lost in Galicia	2009
tt0357668	Sky Kids	2008
tt0359950	The Secret Life of Walter Mitty	2013
tt0360556	Fahrenheit 451	2018
tt0361500	Delgo	2008
tt0361748	Inglourious Basterds	2009
tt0362478	The Box	2009
tt0363240	Christmas on Mars	2008
tt0363780	Lymelife	2008
tt0364201	Aman Ke Farishtey	2016
tt0364970	Babylon A.D.	2008
tt0365545	Nappily Ever After	2018
tt0365675	The Red Baron	2008
tt0365873	Two-Minute Heist	2009
tt0365907	A Walk Among the Tombstones	2014
tt0365929	Whiteout	2009
tt0366415	Boy with a Movie Camera	2017
tt0367882	Indiana Jones and the Kingdom of the Crystal Skull	2008
tt0368133	The Promise of Perfume	2017
tt0368563	Possession	2008
tt0369424	The Horror Vault Vol.1	2008
tt0369436	Four Christmases	2008
tt0369499	Grusgrav	2008
tt0369610	Jurassic World	2015
tt0371746	Iron Man	2008
tt0372538	Spy	2011
tt0373028	In Your Dreams	2008
tt0373051	Journey to the Center of the Earth	2008
tt0373340	Sterling: The Secret of the Lost Medallion	2009
tt0373817	Elvis in East Peoria	2008
tt0374569	Che: Part Two	2008
tt0374853	Malice in Wonderland	2009
tt0375568	Astro Boy	2009
tt0376136	The Rum Diary	2011
tt0376479	American Pastoral	2016
tt0377981	Gnomeo & Juliet	2011
tt0378546	The Payback Man	2010
tt0379865	Leatherheads	2008
tt0380034	Triomf	2008
tt0380249	Tears for Sale	2008
tt0380510	The Lovely Bones	2009
tt0381940	Cargo	2009
tt0381957	Cloud Cuckoo Land	2012
tt0382579	Boppin' at the Glue Factory	2009
tt0383010	The Three Stooges	2012
tt0383028	Synecdoche, New York	2008
tt0383062	Adventurers	2008
tt0385887	Motherless Brooklyn	2019
tt0386117	Where the Wild Things Are	2009
tt0387333	Kantata takwa	2008
tt0387542	Riquelme	2009
